time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
312000,SAT_60935,STARLINK-11253 [DTC],SAT,-1185522.16,5862780.74,3093353.85,360.37,-1,10.0.3.245,60935,592.71,6733.980905710666
312000,SAT_64911,STARLINK-34718,SAT,-1499176.69,5911754.28,3117933.6,475.97,-1,10.0.3.141,64911,612.21,6849.662717896892
312000,SAT_64928,STARLINK-34248,SAT,-1864811.48,5562289.05,3534926.88,476.83,-1,10.0.3.158,64928,623.59,6849.254658620616
312000,SAT_53996,STARLINK-5131,SAT,-1795818.12,5905055.26,3116110.51,540.32,-1,10.0.3.191,53996,659.3,6914.100451563201
312000,SAT_59943,STARLINK-31973,SAT,-1588433.63,5937708.47,3040159.12,483.35,-1,10.0.3.18,59943,666.42,6857.26408610197
312000,SAT_57671,STARLINK-30296,SAT,-1209901.43,6033712.79,3008470.24,475.85,-1,10.0.3.41,57671,684.52,6849.8499755462735
313000,SAT_62474,STARLINK-11502 [DTC],SAT,-1689023.62,5589165.37,3345477.36,356.49,-1,10.0.3.254,62474,412.07,6729.323078021867
313000,SAT_58748,STARLINK-31165,SAT,-1460723.42,5849476.33,3300105.53,500.0,-1,10.0.3.98,58748,511.12,6873.193053748989
313000,SAT_60445,STARLINK-32228,SAT,-1750502.71,5677396.43,3407944.54,476.35,-1,10.0.3.10,60445,542.79,6849.173377044116
313000,SAT_57931,STARLINK-30488,SAT,-1618961.67,5698097.43,3601065.34,559.97,-1,10.0.3.46,57931,582.48,6932.317274450954
313000,SAT_60935,STARLINK-11253 [DTC],SAT,-1189667.59,5859269.52,3098392.9,360.38,-1,10.0.3.245,60935,592.71,6733.972590192794
313000,SAT_64911,STARLINK-34718,SAT,-1503092.2,5908100.35,3122952.22,475.98,-1,10.0.3.141,64911,612.21,6849.654478568527
313000,SAT_64928,STARLINK-34248,SAT,-1868573.44,5558050.2,3539588.77,476.84,-1,10.0.3.158,64928,623.59,6849.246483161749
313000,SAT_53996,STARLINK-5131,SAT,-1801001.58,5906137.28,3111082.54,540.32,-1,10.0.3.191,53996,659.3,6914.108679508961
313000,SAT_59943,STARLINK-31973,SAT,-1593505.09,5934319.12,3044108.61,483.35,-1,10.0.3.18,59943,666.42,6857.258863374607
313000,SAT_57671,STARLINK-30296,SAT,-1214946.01,6035251.64,3003365.43,475.85,-1,10.0.3.41,57671,684.52,6849.858397912813
314000,SAT_62474,STARLINK-11502 [DTC],SAT,-1695424.32,5589383.03,3341883.27,356.48,-1,10.0.3.254,62474,412.07,6729.32760914531
314000,SAT_58748,STARLINK-31165,SAT,-1466948.93,5850004.78,3296415.96,500.0,-1,10.0.3.98,58748,511.12,6873.198183567364
314000,SAT_60445,STARLINK-32228,SAT,-1755939.01,5678595.96,3403162.12,476.34,-1,10.0.3.10,60445,542.79,6849.1814327531865
314000,SAT_57931,STARLINK-30488,SAT,-1624232.61,5694473.46,3604413.65,559.98,-1,10.0.3.46,57931,582.48,6932.312551979902
314000,SAT_60935,STARLINK-11253 [DTC],SAT,-1193811.99,5855751.3,3103427.89,360.39,-1,10.0.3.245,60935,592.71,6733.964287353275
314000,SAT_64911,STARLINK-34718,SAT,-1507006.39,5904439.71,3127966.95,475.98,-1,10.0.3.141,64911,612.21,6849.646252823427
314000,SAT_64928,STARLINK-34248,SAT,-1872333.7,5553805.03,3544246.26,476.85,-1,10.0.3.158,64928,623.59,6849.238304142511
314000,SAT_53996,STARLINK-5131,SAT,-1806182.71,5907212.96,3106050.82,540.31,-1,10.0.3.191,53996,659.3,6914.116909130014
314000,SAT_59943,STARLINK-31973,SAT,-1598575.08,5930923.21,3048054.32,483.36,-1,10.0.3.18,59943,666.42,6857.25364464407
314000,SAT_57671,STARLINK-30296,SAT,-1219988.87,6036783.77,2998256.89,475.84,-1,10.0.3.41,57671,684.52,6849.866824040579
315000,SAT_62474,STARLINK-11502 [DTC],SAT,-1701822.78,5589594.34,3338284.8,356.48,-1,10.0.3.254,62474,412.07,6729.332141171069
315000,SAT_58748,STARLINK-31165,SAT,-1473172.57,5850527.0,3292722.33,499.99,-1,10.0.3.98,58748,511.12,6873.203324594002
315000,SAT_60445,STARLINK-32228,SAT,-1761372.96,5679789.28,3398375.46,476.34,-1,10.0.3.10,60445,542.79,6849.189494863775
315000,SAT_57931,STARLINK-30488,SAT,-1629502.15,5690843.48,3607757.63,559.98,-1,10.0.3.46,57931,582.48,6932.307832716054
315000,SAT_60935,STARLINK-11253 [DTC],SAT,-1197955.36,5852226.06,3108458.81,360.39,-1,10.0.3.245,60935,592.71,6733.955975157728
315000,SAT_64911,STARLINK-34718,SAT,-1510919.25,5900772.34,3132977.79,475.99,-1,10.0.3.141,64911,612.21,6849.638021177682
315000,SAT_64928,STARLINK-34248,SAT,-1876092.28,5549553.55,3548899.35,476.85,-1,10.0.3.158,64928,623.59,6849.230135119101
