time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
2600,UAV_06,RELAY,UAV,-1336842.7,5363572.9,3172419.3,10.0.0.7,257.8,99.7
2600,UAV_07,RELAY,UAV,-1336916.1,5363439.8,3172612.2,10.0.0.8,261.8,99.7
2700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2700,UAV_01,RELAY,UAV,-1337493.2,5364477.0,3170627.2,10.0.0.2,193.7,99.7
2700,UAV_02,RELAY,UAV,-1336751.1,5364338.3,3171171.3,10.0.0.3,222.4,99.7
2700,UAV_03,RELAY,UAV,-1338625.6,5363908.3,3171108.5,10.0.0.4,336.3,99.7
2700,UAV_04,RELAY,UAV,-1335923.7,5364862.4,3170637.3,10.0.0.5,180.2,99.7
2700,UAV_05,RELAY,UAV,-1337897.6,5365345.9,3168997.6,10.0.0.6,84.9,99.7
2700,UAV_06,RELAY,UAV,-1336841.3,5363573.4,3172419.0,10.0.0.7,257.8,99.7
2700,UAV_07,RELAY,UAV,-1336914.7,5363440.3,3172612.0,10.0.0.8,261.8,99.7
2800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2800,UAV_01,RELAY,UAV,-1337493.1,5364477.8,3170626.0,10.0.0.2,189.3,99.7
2800,UAV_02,RELAY,UAV,-1336750.3,5364339.1,3171170.4,10.0.0.3,222.4,99.7
2800,UAV_03,RELAY,UAV,-1338624.9,5363907.8,3171109.7,10.0.0.4,336.3,99.7
2800,UAV_04,RELAY,UAV,-1335923.9,5364863.1,3170636.0,10.0.0.5,180.2,99.7
2800,UAV_05,RELAY,UAV,-1337899.0,5365345.5,3168997.7,10.0.0.6,84.9,99.7
2800,UAV_06,RELAY,UAV,-1336839.9,5363573.9,3172418.7,10.0.0.7,257.8,99.7
2800,UAV_07,RELAY,UAV,-1336913.3,5363440.7,3172611.9,10.0.0.8,261.8,99.7
2900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
2900,UAV_01,RELAY,UAV,-1337493.0,5364478.6,3170624.7,10.0.0.2,186.3,99.7
2900,UAV_02,RELAY,UAV,-1336749.4,5364339.9,3171169.4,10.0.0.3,222.4,99.7
